ElectronicDevices,ElectronicDevices_Duration,Groceries,Groceries_Duration,SportsRelated,Sports_Equipments_Duration,Bounce_Rates,Special_Day,Month,Browser,Region,Type_of_visitor,Weekend,Purchase_made
0,0,0,0,1,0,0.2,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,2,64,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Mozilla,9,Old_Visitor,false,false
0,0,0,0,2,2.666666667,0.05,0,May,Edge,2,Old_Visitor,false,false
0,0,0,0,10,627.5,0.02,0,May,Opera,1,Old_Visitor,true,false
0,0,0,0,19,154.2166667,0.015789474,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.4,May,Brave,3,Old_Visitor,false,false
1,0,0,0,0,0,0.2,0,May,Edge,1,Old_Visitor,true,false
0,0,0,0,2,37,0,0.8,May,Edge,2,Old_Visitor,false,false
0,0,0,0,3,738,0,0.4,May,Brave,1,Old_Visitor,false,false
0,0,0,0,3,395,0,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,16,407.75,0.01875,0.4,May,Mozilla,4,Old_Visitor,false,false
0,0,0,0,7,280.5,0,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,6,98,0,0,May,Chrome,1,Old_Visitor,false,false
0,0,0,0,2,68,0,0,May,Edge,3,Old_Visitor,false,false
2,53,0,0,23,1668.285119,0.008333333,0,May,Mozilla,9,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Mozilla,4,Old_Visitor,false,false
0,0,0,0,13,334.9666667,0,0,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,2,32,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,20,2981.166667,0,0,May,Brave,4,Old_Visitor,false,false
0,0,0,0,8,136.1666667,0,1,May,Edge,5,Old_Visitor,true,false
0,0,0,0,2,0,0.2,0,May,Opera,1,Old_Visitor,false,false
0,0,0,0,3,105,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,2,15,0,0.8,May,Brave,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Edge,4,Old_Visitor,true,false
0,0,0,0,5,156,0,0,May,Mozilla,9,Old_Visitor,false,false
4,64.6,0,0,32,1135.444444,0.002857143,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,4,76,0.05,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,4,63,0,0.2,May,DuckDuckGo,1,Old_Visitor,false,false
1,6,1,0,45,1582.75,0.043478261,0.4,May,Edge,1,Old_Visitor,false,false
0,0,0,0,2,35,0,0,May,Mozilla,6,Old_Visitor,false,false
0,0,0,0,3,78,0,0,May,Edge,6,Old_Visitor,true,false
0,0,0,0,8,209.5,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,10,183.6666667,0.04,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,14,380.5,0.014285714,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,52,2086.242857,0.015384615,0,May,Edge,7,Old_Visitor,false,false
0,0,0,0,8,388,0.025,0,May,Edge,1,Old_Visitor,true,false
2,18,0,0,5,298,0,0.8,May,Edge,8,Old_Visitor,false,false
0,0,0,0,7,63,0.028571429,0.6,May,Edge,1,Old_Visitor,false,false
0,0,0,0,9,482,0,0,May,Chrome,1,Old_Visitor,false,false
1,9,0,0,46,4084.393939,0,0,May,Edge,8,Old_Visitor,false,false
